id,created_at
1269055938599825411,2020-06-05 23:58:08
1269055943922221058,2020-06-05 23:58:09
1269055944681455619,2020-06-05 23:58:09
1269055967536259072,2020-06-05 23:58:15
1269055984401596416,2020-06-05 23:58:19
1269055991955496961,2020-06-05 23:58:21
1269055992785973248,2020-06-05 23:58:21
1269055994023247875,2020-06-05 23:58:21
1269055996325855232,2020-06-05 23:58:22
1269055997689032705,2020-06-05 23:58:22
1269056003313561600,2020-06-05 23:58:23
1269056008418217984,2020-06-05 23:58:24
1269056010750177285,2020-06-05 23:58:25
1269056033172762625,2020-06-05 23:58:30
1269056047513128960,2020-06-05 23:58:34
1269056066924380160,2020-06-05 23:58:38
1269056077489934337,2020-06-05 23:58:41
1269056079456952322,2020-06-05 23:58:41
1269056085782147074,2020-06-05 23:58:43
1269056085857632262,2020-06-05 23:58:43
1269056090177597440,2020-06-05 23:58:44
1269056107395383296,2020-06-05 23:58:48
1269056118162173953,2020-06-05 23:58:51
1269056155470360576,2020-06-05 23:59:00
1269056165931110400,2020-06-05 23:59:02
1269056173992546306,2020-06-05 23:59:04
1269056178031484928,2020-06-05 23:59:05
1269056181466791939,2020-06-05 23:59:06
1269056191424090113,2020-06-05 23:59:08
1269056227071234049,2020-06-05 23:59:17
1269056243748032512,2020-06-05 23:59:21
1269056256448368641,2020-06-05 23:59:24
1269056278908846085,2020-06-05 23:59:29
1269056280381005825,2020-06-05 23:59:29
1269056283279122432,2020-06-05 23:59:30
1269056286580256771,2020-06-05 23:59:31
1269056295757320193,2020-06-05 23:59:33
1269056299666247680,2020-06-05 23:59:34
1269056357224853504,2020-06-05 23:59:48
1269056373649805313,2020-06-05 23:59:52
1269056407762079744,2020-06-06 00:00:00
1269056407996780544,2020-06-06 00:00:00
1269056408160546816,2020-06-06 00:00:00
1269056408684834816,2020-06-06 00:00:00
1269056409087467520,2020-06-06 00:00:00
1269056409418625025,2020-06-06 00:00:00
1269056409695424512,2020-06-06 00:00:00
1269056409821425665,2020-06-06 00:00:00
1269056410110906372,2020-06-06 00:00:00
1269056410433646592,2020-06-06 00:00:00
1269056410580447232,2020-06-06 00:00:00
1269056410681315331,2020-06-06 00:00:00
1269056411352219648,2020-06-06 00:00:01
1269056411800985601,2020-06-06 00:00:01
1269056413202026503,2020-06-06 00:00:01
1269056414900727810,2020-06-06 00:00:01
1269056419439009792,2020-06-06 00:00:02
1269056420864905216,2020-06-06 00:00:03
1269056420885995520,2020-06-06 00:00:03
1269056421976584193,2020-06-06 00:00:03
1269056423574605826,2020-06-06 00:00:03
1269056424534999047,2020-06-06 00:00:04
1269056424535040000,2020-06-06 00:00:04
1269056424992280576,2020-06-06 00:00:04
1269056429085691904,2020-06-06 00:00:05
1269056429228425217,2020-06-06 00:00:05
1269056432026066944,2020-06-06 00:00:05
1269056432617533443,2020-06-06 00:00:06
1269056436023197696,2020-06-06 00:00:06
1269056438640541698,2020-06-06 00:00:07
1269056439265492992,2020-06-06 00:00:07
1269056440813203456,2020-06-06 00:00:08
1269056443002519554,2020-06-06 00:00:08
1269056444130828291,2020-06-06 00:00:08
1269056445171085314,2020-06-06 00:00:09
1269056446588530688,2020-06-06 00:00:09
1269056446995578880,2020-06-06 00:00:09
1269056449512177666,2020-06-06 00:00:10
1269056451416219650,2020-06-06 00:00:10
1269056459360346117,2020-06-06 00:00:12
1269056461046341632,2020-06-06 00:00:12
1269056464536174593,2020-06-06 00:00:13
1269056469896495112,2020-06-06 00:00:15
1269056472169754625,2020-06-06 00:00:15
1269056482605068288,2020-06-06 00:00:18
1269056484484268032,2020-06-06 00:00:18
1269056489043394560,2020-06-06 00:00:19
1269056489496416259,2020-06-06 00:00:19
1269056491266494465,2020-06-06 00:00:20
1269056492478423040,2020-06-06 00:00:20
1269056494009495554,2020-06-06 00:00:20
1269056504310743040,2020-06-06 00:00:23
1269056508098154496,2020-06-06 00:00:24
1269056508219645952,2020-06-06 00:00:24
1269056523159965696,2020-06-06 00:00:27
1269056529598201858,2020-06-06 00:00:29
1269056540088074242,2020-06-06 00:00:31
1269056540247457794,2020-06-06 00:00:31
1269056542105653250,2020-06-06 00:00:32
1269056546933215237,2020-06-06 00:00:33
1269056550993264643,2020-06-06 00:00:34
1269056551920295936,2020-06-06 00:00:34
1269056552679419905,2020-06-06 00:00:34
1269056560875155456,2020-06-06 00:00:36
1269056566004719621,2020-06-06 00:00:37
1269056567766327297,2020-06-06 00:00:38
1269056569997746178,2020-06-06 00:00:38
1269056571973292032,2020-06-06 00:00:39
1269056572916989952,2020-06-06 00:00:39
1269056581318193153,2020-06-06 00:00:41
1269056584082247680,2020-06-06 00:00:42
1269056585101275137,2020-06-06 00:00:42
1269056590935732226,2020-06-06 00:00:43
1269056600444211200,2020-06-06 00:00:46
1269056610992717824,2020-06-06 00:00:48
1269056616705388544,2020-06-06 00:00:50
1269056621348630530,2020-06-06 00:00:51
1269056629221347329,2020-06-06 00:00:52
1269056634959036416,2020-06-06 00:00:54
1269056647709601792,2020-06-06 00:00:57
1269056650263949313,2020-06-06 00:00:58
1269056654244491266,2020-06-06 00:00:58
1269056655146262532,2020-06-06 00:00:59
1269056655444054016,2020-06-06 00:00:59
1269056656178130944,2020-06-06 00:00:59
1269056656362610689,2020-06-06 00:00:59
1269056658824744960,2020-06-06 00:01:00
1269056659651006470,2020-06-06 00:01:00
1269056671596154881,2020-06-06 00:01:03
1269056674498777089,2020-06-06 00:01:03
1269056676566634496,2020-06-06 00:01:04
1269056679108325376,2020-06-06 00:01:04
1269056679728930816,2020-06-06 00:01:05
1269056681939308544,2020-06-06 00:01:05
1269056698574045184,2020-06-06 00:01:09
1269056702332014592,2020-06-06 00:01:10
1269056707185053696,2020-06-06 00:01:11
1269056741414539264,2020-06-06 00:01:19
1269056748498935808,2020-06-06 00:01:21
1269056771319934978,2020-06-06 00:01:26
1269056774709088257,2020-06-06 00:01:27
1269056788659388417,2020-06-06 00:01:31
1269056792165625856,2020-06-06 00:01:31
1269056797538541568,2020-06-06 00:01:33
1269056826701742082,2020-06-06 00:01:40
1269056839276265472,2020-06-06 00:01:43
1269056843437027336,2020-06-06 00:01:44
1269056845420912641,2020-06-06 00:01:44
1269056852957859840,2020-06-06 00:01:46
1269056890492706818,2020-06-06 00:01:55
1269056897518202881,2020-06-06 00:01:56
1269056902476038151,2020-06-06 00:01:58
1269056910361128961,2020-06-06 00:02:00
1269056911363788801,2020-06-06 00:02:00
1269056926970757125,2020-06-06 00:02:03
1269056929134817280,2020-06-06 00:02:04
1269056952497172480,2020-06-06 00:02:10
1269056953818525698,2020-06-06 00:02:10
1269056960009318406,2020-06-06 00:02:11
1269056961850544129,2020-06-06 00:02:12
1269056976568430592,2020-06-06 00:02:15
1269056984130732040,2020-06-06 00:02:17
1269057004305293312,2020-06-06 00:02:22
1269057017966190592,2020-06-06 00:02:25
1269057019652083712,2020-06-06 00:02:26
1269057019807444992,2020-06-06 00:02:26
1269057048022482944,2020-06-06 00:02:32
1269057050929225728,2020-06-06 00:02:33
1269057060395716611,2020-06-06 00:02:35
1269057063163813888,2020-06-06 00:02:36
1269057064153817089,2020-06-06 00:02:36
1269057065206583296,2020-06-06 00:02:36
1269057074450829312,2020-06-06 00:02:39
1269057078049615874,2020-06-06 00:02:40
1269057089550213120,2020-06-06 00:02:42
1269057112748875776,2020-06-06 00:02:48
1269057114321887234,2020-06-06 00:02:48
1269057116205006848,2020-06-06 00:02:49
1269057142910304257,2020-06-06 00:02:55
1269057143333810177,2020-06-06 00:02:55
1269057163038568449,2020-06-06 00:03:00
1269057166532460544,2020-06-06 00:03:01
1269057182953361409,2020-06-06 00:03:05
1269057185620742147,2020-06-06 00:03:05
1269057203195052033,2020-06-06 00:03:09
1269057240780230659,2020-06-06 00:03:18
1269057243980292096,2020-06-06 00:03:19
1269057257058295809,2020-06-06 00:03:22
1269057286892290048,2020-06-06 00:03:29
1269057311143874560,2020-06-06 00:03:35
1269057311391113216,2020-06-06 00:03:35
1269057330009665538,2020-06-06 00:03:40
1269057349630791681,2020-06-06 00:03:44
1269057389740859392,2020-06-06 00:03:54
1269057390239940609,2020-06-06 00:03:54
1269057392290996225,2020-06-06 00:03:54
1269057414730399745,2020-06-06 00:04:00
1269057443587166209,2020-06-06 00:04:07
1269057445936033792,2020-06-06 00:04:07
1269057447341158401,2020-06-06 00:04:08
1269057457634119682,2020-06-06 00:04:10
1269057466018541568,2020-06-06 00:04:12
1269057467910107138,2020-06-06 00:04:12
1269057485907865601,2020-06-06 00:04:17
1269057502081138689,2020-06-06 00:04:21
1269057522826194944,2020-06-06 00:04:26
1269057524705222656,2020-06-06 00:04:26
1269057539699810304,2020-06-06 00:04:30
1269057549204025344,2020-06-06 00:04:32
1269057586063503360,2020-06-06 00:04:41
1269057604489183234,2020-06-06 00:04:45
1269057605768556544,2020-06-06 00:04:45
1269057636265275393,2020-06-06 00:04:53
1269057639427854341,2020-06-06 00:04:53
1269057641134862336,2020-06-06 00:04:54
1269057660323868677,2020-06-06 00:04:58
1269057664421683201,2020-06-06 00:04:59
1269057666397200385,2020-06-06 00:05:00
1269057667487727617,2020-06-06 00:05:00
1269057672525025280,2020-06-06 00:05:01
1269057677143007234,2020-06-06 00:05:02
1269057681928728578,2020-06-06 00:05:03
1269057687192559622,2020-06-06 00:05:05
1269057689788825601,2020-06-06 00:05:05
1269057695069483008,2020-06-06 00:05:07
1269057698278051846,2020-06-06 00:05:07
1269057708159668224,2020-06-06 00:05:10
1269057709938216960,2020-06-06 00:05:10
