created_at,full_text
2020-05-22 23:07:36+00:00,"Because Dr Anthony Fauci is the real star.
"
2020-05-22 19:14:00+00:00,Lol I think Dr Anthony Fauci has been in #Wonderland too long.
2020-05-23 20:00:02+00:00,Have #COVID19 questions? Get answers from Dr. Anthony Fauci RIGHT NOW on #CoronavirusHouseCalls
2020-05-31 01:32:06+00:00,"""The Mentor Who Made Dr. Anthony Fauci"" In this @WSJ article, Dr. Anthony Fauci explains how his mentor changed his life.…"
2020-06-02 19:34:01+00:00,Dr. Anthony Fauci unpacks reopening too quickly
2020-06-02 13:53:18+00:00,Dr. Anthony Fauci hasn't spoken with Trump in two weeks
2020-06-03 14:36:23+00:00,Dr. Anthony Fauci says there’s a chance #coronavirus vaccine may not provide immunity for very long. #ENU200 has shown evidence for long-term successful #COVID19 cure.
2020-06-03 12:21:19+00:00,Where is Dr. Anthony Fauci? #covid19IsStillKillingPeople.
